Weekly Tracker Data
"January 1, 2024 - July 31, 2024"
Account name,Customer ID,Campaign,Campaign type,Day,Currency code,Budget,Cost,Impr.,Clicks
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,2024-01-07,GBP,2.00,8.49,"21,443",93
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,2024-01-07,GBP,5.00,7.94,"30,529",164
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,2024-01-08,GBP,2.00,7.23,"31,362",107
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,2024-01-08,GBP,2.00,7.81,"40,509",65
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,2024-01-08,GBP,2.00,8.08,"22,248",68
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,2024-01-08,GBP,2.00,8.14,"43,609",171
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,2024-01-08,GBP,2.00,7.51,"24,863",103
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,2024-01-08,GBP,5.00,8.10,"30,550",170
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,2024-01-09,GBP,2.00,8.69,"31,426",109
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,2024-01-09,GBP,2.00,8.13,"31,579",58
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,2024-01-09,GBP,2.00,8.50,"18,933",50
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,2024-01-09,GBP,2.00,8.11,"44,173",159
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,2024-01-09,GBP,2.00,7.95,"18,470",94
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,2024-01-09,GBP,5.00,7.90,"28,000",158
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,2024-01-10,GBP,2.00,8.67,"27,857",90
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,2024-01-10,GBP,2.00,8.22,"30,082",60
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,2024-01-10,GBP,2.00,8.87,"25,429",67
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,2024-01-10,GBP,2.00,8.37,"40,647",156
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,2024-01-10,GBP,2.00,9.12,"18,862",94
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,2024-01-10,GBP,5.00,8.13,"25,866",157
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,2024-01-11,GBP,2.00,7.85,"29,385",98
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,2024-01-11,GBP,2.00,8.26,"25,617",64
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,2024-01-11,GBP,2.00,7.68,"26,504",61
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,2024-01-11,GBP,2.00,8.24,"39,476",157
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,2024-01-11,GBP,2.00,8.07,"25,986",108
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,2024-01-11,GBP,5.00,8.32,"25,140",147
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,2024-01-12,GBP,2.00,7.77,"31,500",112
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,2024-01-12,GBP,2.00,8.26,"29,514",61
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,2024-01-12,GBP,2.00,8.97,"27,767",78
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,2024-01-12,GBP,2.00,7.81,"41,905",153
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,2024-01-12,GBP,2.00,7.88,"21,521",106
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,2024-01-12,GBP,5.00,7.97,"28,820",159
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,2024-01-13,GBP,2.00,8.26,"28,607",109
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,2024-01-13,GBP,2.00,7.88,"26,991",74
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,2024-01-13,GBP,2.00,8.37,"26,008",60
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,2024-01-13,GBP,2.00,8.25,"41,850",163
